Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type,Animal Type Specify,Water Status
2017,3,FL,Food,Norovirus Genogroup II,unknown,Confirmed,"Private home/residence; Fair, festival, other temp or mobile services",40,0,40,0,40,pork fried rice,,Multiple,,,,,
2017,3,OR,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,12,0,8,0,8,shrimp; house salad,,Multiple,,,,,
2017,3,OR,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),10,0,10,0,10,,,,,,,,
2017,2,OH,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,,,,,,,,
2017,2,FL,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,hamburger,,Multiple,,,,,
2017,2,MN,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,6,2,6,0,6,,,,,,,,
2017,3,OH,Food,Norovirus,,Suspected,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2017,3,FL,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,3,SC,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,tuna sushi,tuna,Fish,,,,,
2017,3,HI,Food,Norovirus Genogroup II,GII.2,Confirmed,Caterer (food prepared off-site from where served),14,0,14,0,14,,,,,,,,
2017,3,OH,Food,Norovirus,,Suspected,Restaurant - other or unknown type,4,0,4,0,4,,,,,,,,
2017,3,OH,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.4 Sydney; unknown,Confirmed; Suspected,Caterer (food prepared off-site from where served),27,0,27,0,27,salad,,Multiple,,,,,
2017,3,MA,Food,Norovirus Genogroup II,GII.P16 - GII.2,Confirmed,Restaurant - Sit-down dining,12,0,8,0,8,,,,,,,,
2017,3,TN,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant - Sit-down dining,3,0,2,0,2,"nachos, unspecified",,Multiple,,,,,
2017,3,GA,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,lamb,lamb,Other Meat,,,,,
2017,3,WI,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,3,SC,Food,Vibrio other,,Suspected,Banquet Facility (food prepared and served on-site),17,0,17,0,17,raw oysters,,Mollusks,,,,,
2017,3,NY,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,greek salad,,Multiple,,,,,
2017,1,IA,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,2,IA,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2017,3,OH,Food,Norovirus,,Suspected,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2017,3,FL,Food,Ciguatoxin,,Confirmed,Private home/residence,2,0,2,0,2,barracuda,"fish, baracuda",Fish,,,,,
2017,3,MN,Food,Norovirus Genogroup II,GII.4 untypeable,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,3,SC,Food,Norovirus Genogroup II,GII.2,Confirmed,Caterer (food prepared off-site from where served),38,0,38,0,38,"cookies, chocolate chip; pasta salad; sandwich, turkey",,Multiple,,,,,
2017,3,SC,Food,Norovirus Genogroup II,unknown,Confirmed,Caterer (food prepared off-site from where served),10,0,10,0,10,,,,,,,,
2017,3,OR,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,20,0,20,0,20,"oysters, baked; oysters, raw","oysters; oysters, raw",Mollusks,,,,,
2017,3,OR,Food,Salmonella enterica,Javiana,Confirmed,Restaurant - Sit-down dining; Private home/residence,4,0,4,0,4,,,,,,,,
2017,3,FL,Food,Neurotoxic shellfish poison,,Confirmed,Private home/residence,2,1,2,0,2,"conch, soup",conch,Mollusks,,,,,
2017,2,MD,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,ice cream with fresh berries,,Multiple,,,,,
2017,3,MD,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Grocery store",22,0,22,0,22,"cheese, unspecified; rice, white",,Multiple,,,,,
2017,2,MI,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,2,MI,Food,,,,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,2,NC,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,41,18,41,0,41,,,,,,,,
2017,3,OH,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,3,OR,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,4,MN,Food,Norovirus Genogroup II,other,Confirmed,Banquet Facility (food prepared and served on-site),43,0,40,0,43,salad,,Multiple,,,,,
2017,3,MN,Food,Norovirus Genogroup II,GII.P16 - ,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,3,MN,Food,Clostridium perfringens; Bacillus cereus,,Suspected; Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,4,KS,Food,Norovirus unknown,,Confirmed,Caterer (food prepared off-site from where served),18,0,0,0,0,"pizza; orange, unspecified; salad",,Multiple,,,,,
2017,4,WI,Food,Norovirus Genogroup II; Norovirus Genogroup I,GII.P16 - GII.4 Sydney; ,Confirmed; Suspected,Caterer (food prepared off-site from where served),5,0,5,0,5,chicken salad,,Multiple,,,,,
2017,4,SC,Food,Norovirus unknown,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,0,0,0,,,,,,,,
2017,2,MI,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0,6,0,6,,,,,,,,
2017,1,WA,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
2017,4,FL,Food,Other - Virus,,Suspected,Private home/residence,2,0,2,0,2,salad mix,salad,Multiple,,,,,
2017,4,UT,Food,Norovirus Genogroup II,GII.P16 - GII.2,Confirmed,Caterer (food prepared off-site from where served),35,0,0,0,0,,,,,,,,
2017,4,HI,Food,Mycotoxins,,Confirmed,Private home/residence,5,0,5,0,5,"mushrooms, unspecified",,Fungi,,,,,
2017,3,FL,Food,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,,,,,,,,
2017,4,IN,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,6,1,2,0,2,,,,,,,,
2017,3,FL,Food,Cyclospora,,Suspected,Other,10,1,10,0,10,,,,,,,,
2017,4,OH,Food,Norovirus Genogroup II,GII.4 untypeable,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,4,KS,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,19,0,19,0,19,,,,,,,,
2017,3,MA,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Caterer (food prepared off-site from where served)",16,9,14,0,16,,,,,,,,
2017,2,IN,Food,Scombroid toxin,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,frozen saku tuna,,Fish,,,,,
2017,4,WI,Food,Norovirus Genogroup II,GII.P16 - GII.2,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",115,0,98,0,115,submarine sandwich,,Multiple,,,,,
2017,4,OH,Food,Scombroid toxin,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,4,0,4,"tuna, commercial pouch",tuna,Fish,,,,,
2017,3,WA,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,"oysters, raw","oysters, raw",Mollusks,,,,,
2017,4,SC,Food,Salmonella enterica,Enteritidis,Confirmed,Prison/jail,23,5,23,0,23,"ground turkey, unspecified",ground turkey,Turkey,,,,,
2017,4,CT,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,25,0,25,0,25,"fish, sole",,Fish,,,,,
2017,4,OH,Food,Norovirus unknown,,Suspected,Restaurant - Buffet,11,0,0,0,0,,,,,,,,
2017,4,OK,Food,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",10,0,10,0,10,,,,,,,,
2017,4,OH,Food,Norovirus Genogroup I; Sapovirus,GI.7; ,Confirmed; Suspected,Restaurant - Sit-down dining,4,0,0,0,0,,,,,,,,
2017,4,FL,Food,Norovirus unknown,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",12,0,12,0,12,,,,,,,,
2017,4,FL,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,108,0,108,0,108,sushi,"eel; rice, white; shrimp; tuna",Multiple,,,,,
2017,2,MI,Food,,,,Restaurant - Buffet,8,0,8,0,8,,,,,,,,
2017,4,OH,Food,Norovirus Genogroup I; Norovirus unknown,GI.7; ,Suspected; Suspected,Restaurant - Buffet,5,0,5,0,5,,,,,,,,
2017,4,MO,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining; Unknown,40,4,40,0,40,,,,,,,,
2017,3,FL,Food,Norovirus Genogroup I,GI.1,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,ice,,Other,,,,,
2017,4,OH,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",7,0,4,0,4,,,,,,,,
2017,4,CT,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,2,CT,Food,Salmonella enterica,Thompson,Confirmed,Restaurant - Sit-down dining,19,0,19,0,19,,,,,,,,
2017,4,TX,Food,,,,Restaurant - Buffet,4,0,4,0,4,,,,,,,,
2017,3,NY,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,4,OR,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served); Hospital,8,0,8,0,8,,,,,,,,
2017,3,PA,Food,Salmonella enterica,Berta,Confirmed,Restaurant - Sit-down dining,7,5,7,0,7,,,,,,,,
2017,4,CT,Food,Norovirus Genogroup I,,Confirmed,Hotel/motel,36,0,36,0,36,"shrimp, unspecified; green beans; ice",,Multiple,,,,,
2017,4,CT,Food,Norovirus Genogroup I,,Suspected,Hotel/motel,99,0,99,0,99,tortilla chips; sour cream; tea,,Multiple,,,,,
2017,4,OH,Food,Bacillus,,Suspected,Banquet Facility (food prepared and served on-site),26,0,0,0,0,,,,,,,,
2017,5,OH,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining; Private home/residence,2,0,2,0,2,,,,,,,,
2017,4,OK,Food,Salmonella enterica,Litchfield,Confirmed,Private home/residence,15,4,15,0,15,,,,,,,,
2017,4,OH,Food,Norovirus Genogroup I; Norovirus,,Suspected; Confirmed,Hotel/motel,46,0,0,0,0,,,,,,,,
2017,4,WI,Food,Norovirus Genogroup II,GII.P16 - GII.4 Sydney,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,5,WI,Food,Clostridium perfringens,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,5,OH,Food,Norovirus,,Suspected,Restaurant - other or unknown type,3,0,3,0,3,,,,,,,,
2017,3,FL,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,house salad,carrots; cucumber; leaf lettuce; tomato; sauces/ dressings,Multiple,,,,,
2017,3,MI,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,11,0,11,0,11,,,,,,,,
2017,5,MA,Food,Norovirus,,Suspected,Caterer (food prepared off-site from where served),10,,0,0,10,,,,,,,,
2017,4,WA,Food,Clostridium perfringens,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,"beans, unspecified",beans,Grains-Beans,,,,,
2017,3,WA,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,4,WA,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,3,WA,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,4,OR,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2017,5,MI,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,9,0,9,0,9,,,,,,,,
2017,5,MI,Food,Norovirus Genogroup I,GI.7,Confirmed,Restaurant - Sit-down dining,90,0,3,0,2,,,,,,,,
2017,5,NM,Food,Norovirus,,Suspected,Caterer (food prepared off-site from where served),12,0,12,0,12,,,,,,,,
2017,4,MA,Food,,,,Other,5,0,5,0,5,hummus,,Multiple,,,,,
2017,4,MA,Food,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",9,2,9,0,7,,,,,,,,
2017,5,MA,Food,,,,Other,17,0,17,0,17,,,,,,,,
2017,5,OH,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,8,0,1,0,1,,,,,,,,
2017,5,AK,Food,Trichinella,,Confirmed,Private home/residence,5,0,5,0,5,walrus,walrus,Other Aquatic Animals,,,,,
2017,4,CO,Food,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,,
2017,2,CO,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,4,0,4,0,4,,,,,,,,
2017,5,OH,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.2; unknown,Confirmed; Confirmed,Banquet Facility (food prepared and served on-site),61,5,61,0,61,,,,,,,,
2017,5,OR,Food,Norovirus Genogroup II,GII.P16 - ,Confirmed,Restaurant - Sit-down dining,18,0,18,0,18,,,,,,,,
2017,5,OH,Food,Norovirus,,Suspected,Restaurant - other or unknown type,2,0,2,0,2,,,,,,,,
2017,4,FL,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,5,WI,Food,Clostridium perfringens,,Suspected,Banquet Facility (food prepared and served on-site),23,0,23,0,23,prime rib and aus jus,beef,Beef,,,,,
2017,4,NY,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,,,,,,
2017,3,AZ,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.4 untypeable; GII.P16 - GII.4 Sydney,Confirmed; Confirmed,Banquet Facility (food prepared and served on-site),12,1,7,0,12,,,,,,,,
2017,5,HI,Food,,,,Restaurant - Sit-down dining,9,0,9,0,9,,,,,,,,
2017,3,Multistate,Food,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,Grocery store,6,4,5,0,5,chicken,,Chicken,,,,,
2017,5,MA,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.P16 - GII.2; unknown,Suspected; Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17,0,17,0,17,,,,,,,,
2017,5,OH,Food,Clostridium difficile,,Suspected,Restaurant - Sit-down dining,5,0,5,0,5,,,,,,,,
2017,3,MI,Food,Norovirus unknown,,Suspected,Other; Restaurant - Buffet,24,0,24,0,24,"pizza; cake, unspecified; soda, unspecified",n/a; n/a; n/a,Multiple,,,,,
2017,4,FL,Food,Staphylococcus aureus,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,"chicken, hot wings",,Multiple,,,,,
2017,2,FL,Food,Norovirus,,Suspected,Restaurant - Buffet,3,0,3,0,3,,,,,,,,
2017,5,WI,Food,Norovirus Genogroup I; Norovirus unknown,GI.7; ,Confirmed; Suspected,Private home/residence,71,0,70,0,71,pasta salad,,Multiple,,,,,
2017,4,MD,Food,Norovirus,,Suspected,Grocery store,9,0,9,0,9,"sandwich, roast beef",,Multiple,,,,,
2017,5,MN,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,6,0,6,0,6,,,,,,,,
2017,5,CT,Food,,,,Restaurant - Buffet,4,0,4,0,4,,,,,,,,
2017,5,SC,Food,Norovirus Genogroup I,,Suspected,Restaurant - Sit-down dining,3,1,3,0,3,"oysters, raw","oysters, raw",Mollusks,,,,,
2017,1,ID,Food,,,,Restaurant - Sit-down dining,12,0,0,0,0,,,,,,,,
2017,4,PA,Food,Bacillus cereus,,Confirmed,Prison/jail,101,0,66,0,66,"chicken, stew",,Multiple,,,,,
2017,4,HI,Food,Salmonella enterica,Typhimurium,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,,,,,,,,
2017,5,PA,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,,
