,cluster,date,date,state,state
97,10,2013-07-04 22:30:30,2013-07-10 16:36:08,AZ,AZ
98,11,2013-09-25 20:24:24,2013-10-01 19:12:17,NV,NV
99,7,2014-03-30 19:35:19,2014-04-04 16:28:14,AZ,AZ
100,10,2013-05-29 00:23:05,2013-06-02 06:25:03,AZ,AZ
101,10,2014-07-03 04:15:45,2014-07-07 21:24:38,AZ,AZ
102,9,2013-09-18 22:10:52,2013-09-23 16:25:09,NV,NV
103,14,2013-10-14 20:01:59,2013-10-24 01:24:18,NV,NV
104,8,2014-01-25 05:36:35,2014-01-29 21:16:00,NV,NV
105,11,2017-02-02 03:35:25,2017-02-08 05:21:26,AZ,AZ
106,9,2014-01-28 22:37:01,2014-02-03 16:26:43,AZ,AZ
107,9,2014-10-03 23:51:38,2014-10-08 23:29:12,AZ,AZ
108,9,2013-03-13 04:36:15,2013-03-18 21:52:05,NV,NV
109,9,2012-06-08 19:11:15,2012-06-14 04:08:53,NV,NV
110,10,2012-03-31 01:33:26,2012-04-05 23:31:59,AZ,AZ
111,9,2012-08-12 21:16:28,2012-08-17 22:43:52,NV,NV
112,9,2011-11-30 02:24:14,2011-12-05 07:28:15,NV,NV
113,15,2014-04-06 00:36:01,2014-04-12 21:03:13,NV,NV
114,9,2018-05-13 18:32:26,2018-05-18 23:30:13,NC,SC
115,14,2014-04-09 17:53:34,2014-04-17 04:01:17,AZ,AZ
116,12,2014-01-19 18:28:44,2014-01-26 21:48:09,AZ,AZ
117,9,2015-07-21 16:46:23,2015-07-27 00:33:26,AZ,AZ
118,9,2012-04-13 18:36:44,2012-04-18 21:28:41,AZ,AZ
119,9,2012-07-13 20:47:00,2012-07-18 15:30:35,NV,NV
120,11,2013-07-10 12:51:19,2013-07-17 03:38:03,NV,NV
121,13,2013-03-22 06:42:00,2013-03-30 14:32:06,AZ,AZ
122,11,2013-01-06 02:05:13,2013-01-11 19:09:23,AZ,AZ
123,9,2013-05-13 17:48:02,2013-05-18 22:48:49,AZ,AZ
124,9,2015-09-20 22:48:14,2015-09-24 06:47:34,NV,NV
125,1,2017-02-10 00:46:36,2017-02-10 00:46:36,AZ,AZ
126,7,2016-10-02 23:24:00,2016-10-06 23:01:19,AZ,AZ
127,9,2013-09-30 16:17:37,2013-10-05 06:00:52,AZ,AZ
128,12,2014-12-05 04:14:12,2014-12-12 09:37:24,NV,NV
129,9,2018-04-06 00:49:49,2018-04-11 23:34:48,NC,SC
130,9,2014-08-29 05:05:00,2014-09-03 15:27:04,AZ,AZ
